evidence_id,date,claim,dataset_ids,artifact_type,artifact_path,generator,run_id,metrics_path,sha256,reviewer,status,limitations
ev-20260831-001,2026-08-31,Take01全1815源RGB帧内容身份通过且曝光修正后1748发布帧全覆盖,ds-20260829-take000,json,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,39c7431ff29b1871681a1d81d80fbf939f5ce5c15bc40fe0e3c56c0c40dda930,Codex,verified_full_frame_rgb_identity_and_exposure_alignment,残余+16ms未回写且无共享TTL或独立2D空间GT
ev-20260831-002,2026-08-31,Take02全1812源RGB帧内容身份通过且曝光修正后1805发布帧全覆盖,ds-20260829-take001,json,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,025554f1593403cebfbd5c2412e165637ec3fce99021aca0d2037f3cbc55120c,Codex,verified_full_frame_rgb_identity_and_exposure_alignment,残余+10ms未回写且无共享TTL或独立2D空间GT
ev-20260831-003,2026-08-31,Take03全1810源RGB帧内容身份通过且曝光修正后1800发布帧全覆盖,ds-20260829-take002,json,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,79c5d63009eeca55850a05bb9dd152a8f1bcdc08852b17344c1580e34a11e3f7,Codex,verified_full_frame_rgb_identity_and_exposure_alignment,残余+17ms未回写且无共享TTL或独立2D空间GT
ev-20260831-004,2026-08-31,Take01逐帧frame map含连续source frame与MOCAP bracket,ds-20260829-take000,csv,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25.alignment.csv,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,976dc65b4ab50f6d433f270bc7c24d24690706f73da559c245bcfae6a856aad7,Codex,verified,共同区间裁剪了前60帧和后7帧
ev-20260831-005,2026-08-31,Take02逐帧frame map含1805个连续映射行,ds-20260829-take001,csv,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25.alignment.csv,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,c662f89dcf5dca4a7a5720a7a3e8367c1e946d517654bf9d38abb5462b4289a8,Codex,verified,共同区间裁剪了后7帧
ev-20260831-006,2026-08-31,Take03逐帧frame map含1800个连续映射行,ds-20260829-take002,csv,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25.alignment.csv,mocap_video_overlay.py,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,a37de53909289102ff2c89ba27c87f8c4e78473f6bde807f7d3cb3417ca141ea,Codex,verified,共同区间裁剪了前3帧和后7帧
ev-20260831-007,2026-08-31,Take01 MOCAP-only H264全帧解码1748帧,ds-20260829-take000,video,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,c711286edd5c6e7f3188e44e5178a5ca6780428c8eed115f54c186436195e049,Codex,verified,可视叠加不是独立2D像素GT
ev-20260831-008,2026-08-31,Take02 MOCAP-only H264全帧解码1805帧,ds-20260829-take001,video,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,f32ca5aed08092da2ad9cb15243a87f87c810483c6f7b24fe66895a3e37c0a6e,Codex,verified,可视叠加不是独立2D像素GT
ev-20260831-009,2026-08-31,Take03 MOCAP-only H264全帧解码1800帧,ds-20260829-take002,video,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-video-alignment,outputs/mocap_video_alignment_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,de8298664ad3d5de1b3513be742655a8557b3055200798b463632971503e5611,Codex,verified,可视叠加不是独立2D像素GT
ev-20260831-010,2026-08-31,Take01 corrected fusion左右joint median为13.44和11.94mm,ds-20260829-take000,json,outputs/mocap_root_fusion_strict25/01_210814_Take_000_mocap_root_fused_glove_calibration_fit.metrics.json,gt_calib_viz.py,run-20260831-mocap-root-fusion,outputs/mocap_root_fusion_strict25/01_210814_Take_000_mocap_root_fused_glove_calibration_fit.metrics.json,d48007d83ac929a1c65ac5fefd2cca9d642b25d9266a24589714f289c2028166,Codex,verified_conditional_fusion,self-fit且wrist SE3来自MOCAP
