request_id,priority,item,requested_files,required_fields_or_content,acceptance,status,owner,due_date,notes
REQ-P0-01,P0,原始Marker与质量,Take_xxx_markers_raw.c3d;Take_xxx_markers_raw.csv,frame_counter;timestamps;marker ID/label;xyz mm;tracked;occluded;gap_filled;interpolated;residual;ray_count;camera_mask,120Hz且FrameCounter可连接Human.cma;缺失为NaN;无静默补点,requested,,2026-08-31,三个TAK都要导出
REQ-P0-02,P0,手部Marker Set与骨架,mocap native asset;hand_joints.csv;hand_markers.csv;solver config;placement photos,21节点语义;父子关系;rest offsets;骨长;marker offset;实体与推算点;滤波补点配置,左右42节点和全部实体Marker均可追溯,requested,,2026-08-31,
REQ-P0-03,P0,Human逐关节质量,Take_xxx_Human_quality.csv,frame_counter+joint_id;valid;confidence;source_marker_count;occlusion;gap_fill;fit residual,可无歧义连接Human.cma;若软件不支持需书面确认,requested,,2026-08-31,
REQ-P0-04,P0,相机-MOCAP同场标定,calibration native;coordinate_frames.json;correspondences.csv;Orbbec factory intrinsics;official depth-to-color extrinsics;RGBD bag;MOCAP c3d/tak;report,完整坐标约定;3D/2D/depth对应点;calibration/heldout split;相机序列号固件畸变模型;原始D2C R/t,覆盖工作区中心边缘与多深度;heldout误差可计算;解释现有D2C 3x3非正交来源,requested,,2026-08-31,优先找2026-08-29原布置数据
REQ-P0-05,P0,手背板与后侧腕模块到glove/skeleton root,rigid body definitions;T_glove_root_from_body_hand.json;T_rear_module_from_hand_skeleton_left/right.json;rear module marker definitions;hardware frame contract;mount photos;body quality CSV,前手背板与后黑块硬件身份;各自rigid body/origin/XYZ;逐帧6DoF;valid;marker count;residual;occlusion;左右固定变换,照片明确标出前后硬件块;若后模块被追踪则至少3个最好4个非共面Marker;否则书面确认;固定变换来自CAD量具或独立calibration且重复拆装3次,requested,,2026-08-31,现有Forearm BVH为零占位不能当后侧模块6DoF
REQ-P0-06,P0,时间戳契约与硬件同步,timestamp_contract.md/json;sync logger source+commit;raw trigger log;next-take sync_trigger_events.csv,FrameCounter/TimeStamp/PtpTimeStamp单位epoch时区clock domain;相机曝光起中止语义;poll/callback采样点;PTP grandmaster和lock;共享TTL或MOCAP可追踪同步LED事件,未看手部动作即可独立估计offset/drift/uncertainty;下一次正式动作前后各>=10脉冲;目标P95<1ms否则报告,requested,,2026-08-31,禁止用动作相关性拟合并回写per-take offset;glove也必须有device acquisition timestamp
REQ-P0-07,P0,Glove solver可重放输入与session-neutral,Take_xxx_session_neutral.json;Take_xxx_left/right_hand_imu_raw.csv;solver assets;glove_solver_replay.md,device/host timestamps;packet sequence;IMU quaternion/gyro/acc/status;frame与active/passive;reset/recenter;mount transform;精确重放命令,配置SHA匹配pose.meta;同一输入数值复现pose/keypoints;不能只有原机器绝对路径,requested,,2026-08-31,三个Take的neutral均不同且当前未交付
REQ-P0-08,P0,Femto Bolt相机MOCAP刚体,FemtoBolt_rigid_body_definition.json;camera_marker_trajectory.c3d;camera_marker_quality.csv;mount_photos,至少3个最好4个非共面Marker;marker到depth和彩色光心固定变换;120Hz xyz/6DoF;valid;camera_mask;residual;occluded;gap_filled,可逐帧独立得到T_world_from_depth并与00固定外参比较;mount在所有Take中不动,requested,,2026-09-01,这是获得逐帧camera pose和验证fixed pose最直接的数据
REQ-P0-09,P0,RGB-D与MOCAP共同标定板,board_or_wand_geometry.json;calibration_rgbd.bag;calibration_mocap.c3d;rgb_depth_correspondences.csv;split_manifest.json,不少于30个完整pose;中心/边缘;近中远;多朝向;target ID;MOCAP xyz;RGB uv;raw depth uv/mm;visibility/residual;整pose split,至少20% heldout pose且不参与求解;可比较delivered affine与rigid D2C candidate;报告2D/3D未截断误差,requested,,2026-09-01,不要按相邻帧随机切分;同一静态pose多帧只增加precision
REQ-P1-01,P1,独立RGB 2D标注,Take_xxx_rgb_joints_2d.csv,frame_index;color timestamp;side;joint_id;u/v;visibility;annotator/version,每段至少100帧;双人标注与consensus,requested,,2026-09-02,
REQ-P1-02,P1,手尺寸和安装记录,subject_hand_measurements.csv;marker/IMU photos,手长掌宽腕宽各指骨长手套尺码测量方法和不确定度,可区分骨长定义与算法误差,requested,,2026-09-02,
REQ-P1-03,P1,独立calibration/test与重戴,独立calibration take + untouched Take_004原始全模态数据,neutral/open/fist/spread/逐指/触碰/wrist动作;三档速度;重戴;重新neutral;新subject可选,profile和阈值先锁定;Take_004首次跑分前不调参;至少一次脱下重戴holdout,requested,,2026-09-02,Take_001/002已用于本轮审查不能再当全盲final
REQ-P1-04,P1,采集manifest与漂移检查,manifest.json;pre/post calibration records,设备/固件/软件/asset/neutral/extrinsic IDs;camera moved;redonned;pre/post delta,每段可追溯且前后外参漂移可量化,requested,,2026-09-02,
